experiment,parameter,variable,actual,top5,hit5,p_actual,neg_log_prob,brier
gnn_depth,depth=3,QS_2,5,"[8, 10, 13, 11, 7]",0.0,0.04063902893852765,3.2030263702265245,0.9626736834852052
gnn_depth,depth=3,QS_3,17,"[23, 19, 21, 26, 18]",0.0,0.044631082342368615,3.109324749181545,0.948753079361522
gnn_depth,depth=3,QS_4,23,"[30, 32, 28, 31, 29]",0.0,0.04067446254416485,3.2021548393837596,0.9632210021017701
gnn_depth,depth=3,QS_5,32,"[39, 38, 37, 36, 34]",0.0,0.05279562777083909,2.9413268990691126,0.9713525729206895
patch_horizon,patch_size=2,QS_1,1,"[1, 2, 3, 5, 4]",1.0,0.13644156675692964,1.9918588383773526,0.8054100892636878
patch_horizon,patch_size=2,QS_2,5,"[10, 13, 7, 12, 9]",0.0,0.04136537570537162,3.1853110836936613,0.9607753056936637
patch_horizon,patch_size=2,QS_3,17,"[20, 23, 19, 18, 24]",0.0,0.0456661804134943,3.086397289758498,0.9470755914101285
patch_horizon,patch_size=2,QS_4,23,"[29, 31, 32, 30, 27]",0.0,0.03952037485002339,3.230938921076011,0.9645002182151163
patch_horizon,patch_size=2,QS_5,32,"[39, 38, 36, 37, 35]",0.0,0.05397979111524278,2.9191455410692213,0.9674426175450396
patch_horizon,patch_size=5,QS_1,1,"[1, 2, 3, 4, 5]",1.0,0.12310806756576995,2.0946927112554112,0.8290822015460414
patch_horizon,patch_size=5,QS_2,5,"[10, 13, 12, 11, 9]",0.0,0.04474214944893453,3.1068392809598704,0.9540327805988508
patch_horizon,patch_size=5,QS_3,17,"[21, 19, 22, 24, 17]",1.0,0.047538403466522855,3.0462174005647276,0.9427931017762864
patch_horizon,patch_size=5,QS_4,23,"[28, 32, 29, 31, 33]",0.0,0.04431557546205248,3.116419073159008,0.9530688841921826
patch_horizon,patch_size=5,QS_5,32,"[39, 38, 37, 36, 35]",0.0,0.05660755618473532,2.871612801186441,0.95638290112464
patch_horizon,patch_size=10,QS_1,1,"[1, 2, 3, 4, 5]",1.0,0.12738376069506005,2.0605510110404337,0.8169036127489541
patch_horizon,patch_size=10,QS_2,5,"[11, 8, 13, 9, 12]",0.0,0.044678569452476405,3.108261322919576,0.952742395766818
patch_horizon,patch_size=10,QS_3,17,"[23, 24, 19, 21, 20]",0.0,0.0458167968142166,3.083104512427168,0.946980682539664
patch_horizon,patch_size=10,QS_4,23,"[28, 30, 32, 29, 33]",0.0,0.04764313568954504,3.0440167161416958,0.9476812739615325
patch_horizon,patch_size=10,QS_5,32,"[39, 38, 37, 35, 36]",0.0,0.06405260220529967,2.748050623747274,0.9450080065278197
ablation_gnn,full_model,QS_1,backtest,,0.4684931506849315,46.849315068493155,2.8492558280364677,0.9309661045939845
ablation_gnn,full_model,QS_2,backtest,,0.25753424657534246,25.753424657534246,3.242820068405484,0.9573807914164542
ablation_gnn,full_model,QS_3,backtest,,0.25205479452054796,25.205479452054796,3.3343955400798317,0.9608921128876228
ablation_gnn,full_model,QS_4,backtest,,0.2876712328767123,28.767123287671232,3.2273569629922787,0.9560648903541266
